SideEffect,Disease,Pvalue
cerebrovascular disorder,Hypertension,0.008539965
nervousness,Alzheimer Disease,0.008550693
nervousness,Cystitis,0.008550693
nervousness,Sleep Initiation and Maintenance Disorders,0.008550693
rash,Diabetic Nephropathies,0.008557261
rash,"Ventricular Dysfunction, Left",0.008557261
confusion,"Candidiasis, Vulvovaginal",0.008561591
pulmonary edema,Myocardial Infarction,0.008573238
otitis,"Rhinitis, Allergic, Perennial",0.008585132
abdominal distention,Addison Disease,0.008587757
abdominal distention,Autoimmune Diseases,0.008587757
abdominal distention,Collagen Diseases,0.008587757
abdominal distention,Endometrial Hyperplasia,0.008587757
abdominal distention,Skin Diseases,0.008587757
abdominal distention,Uterine Hemorrhage,0.008587757
AV block,Psychomotor Agitation,0.008587757
laryngitis,Eating Disorders,0.008587757
laryngitis,"Impotence, Vasculogenic",0.008587757
laryngitis,Phobic Disorders,0.008587757
otitis media,Eating Disorders,0.008587757
otitis media,Phobic Disorders,0.008587757
toxic epidermal necrolysis,Coronary Artery Disease,0.00862325
toxic epidermal necrolysis,Dysmenorrhea,0.00862325
toxic epidermal necrolysis,Hyperlipoproteinemias,0.00862325
toxic epidermal necrolysis,Hypertriglyceridemia,0.00862325
toxic epidermal necrolysis,Zollinger-Ellison Syndrome,0.00862325
hypotension,Ventricular Fibrillation,0.008646632
Toothache,Obsessive-Compulsive Disorder,0.008703858
thrombocythemia,Obsessive-Compulsive Disorder,0.008703858
thrombocythemia,Septicemia,0.008703858
diarrhea,Diabetic Nephropathies,0.008706932
diarrhea,"Ventricular Dysfunction, Left",0.008706932
dysmenorrhea,Schizophrenia,0.008724392
ulcer,Escherichia coli Infections,0.00872531
contact dermatitis,Tinea Versicolor,0.008729502
arthrosis,Graft vs Host Disease,0.008729502
arthrosis,Hematologic Diseases,0.008729502
arthrosis,Neoplasms,0.008729502
arthrosis,"Paget Disease, Extramammary",0.008729502
peripheral neuropathy,"Conjunctivitis, Bacterial",0.008729502
peripheral neuropathy,Prostatitis,0.008729502
ulcer,Acquired Immunodeficiency Syndrome,0.00876082
cataract,Streptococcal Infections,0.008763037
neuropathy,Lung Neoplasms,0.008765447
diplopia,Pain,0.008767483
delirium,Alzheimer Disease,0.008774162
delirium,Status Epilepticus,0.008774162
hemoptysis,Cystitis,0.008774162
interstitial nephritis,Cystitis,0.008774162
interstitial nephritis,"Endocarditis, Bacterial",0.008774162
angioedema,"Angina Pectoris, Variant",0.008779408
angioedema,Coronary Artery Disease,0.008779408
angioedema,Dysmenorrhea,0.008779408
angioedema,Hyperlipoproteinemias,0.008779408
angioedema,Hypertriglyceridemia,0.008779408
arrhythmia,Dysmenorrhea,0.008779408
arrhythmia,Neuroblastoma,0.008779408
nausea,Staphylococcal Infections,0.008794064
nausea,Streptococcal Infections,0.008794064
anorexia,"Lymphoma, Non-Hodgkin",0.00879663
acute renal failure,"Arthritis, Juvenile Rheumatoid",0.00881257
acute renal failure,Neuroblastoma,0.00881257
acute renal failure,Obsessive-Compulsive Disorder,0.00881257
hypochromic anemia,Helicobacter Infections,0.008814279
thrombocytopenia,"Skin Diseases, Bacterial",0.008816184
spontaneous abortion,Dysentery,0.008818342
spontaneous abortion,Hypoventilation,0.008818342
spontaneous abortion,"Infertility, Female",0.008818342
spontaneous abortion,Typhoid Fever,0.008818342
acquired immunodeficiency syndrome,"Candidiasis, Chronic Mucocutaneous",0.008818342
acquired immunodeficiency syndrome,"Candidiasis, Oral",0.008818342
adenocarcinoma,Gynecomastia,0.008818342
adenocarcinoma,"Puberty, Precocious",0.008818342
adrenal disease,Rhabdomyosarcoma,0.008818342
hyperaminoaciduria,Pancreatic Neoplasms,0.008818342
hyperaminoaciduria,Precursor Cell Lymphoblastic Leukemia-Lymphoma,0.008818342
hyperaminoaciduria,Stomach Neoplasms,0.008818342
appendicitis,"Fatigue Syndrome, Chronic",0.008818342
arteriosclerosis,Keratosis,0.008818342
benign prostatic hyperplasia,"Puberty, Delayed",0.008818342
bruit,Cystitis,0.008818342
sprue,Precursor Cell Lymphoblastic Leukemia-Lymphoma,0.008818342
cluster headache,Alzheimer Disease,0.008818342
dacryocystitis,Cystitis,0.008818342
type 2 diabetes,"Lymphoma, T-Cell, Cutaneous",0.008818342
type 2 diabetes,Obesity,0.008818342
Diaper rash,Abdominal Abscess,0.008818342
fasciitis,"Ductus Arteriosus, Patent",0.008818342
fibrosarcomas,Alzheimer Disease,0.008818342
narrow angle glaucoma,"Fatigue Syndrome, Chronic",0.008818342
narrow angle glaucoma,Sinoatrial Block,0.008818342
narrow angle glaucoma,"Spasms, Infantile",0.008818342
narrow angle glaucoma,Uveitis,0.008818342
gonadal dysfunction,Rhabdomyosarcoma,0.008818342
hair disorder,Keratosis,0.008818342
hematochezia,Abdominal Abscess,0.008818342
hematochezia,Alcoholic Neuropathy,0.008818342
hematochezia,"Anemia, Pernicious",0.008818342
hepatic coma,Soft Tissue Neoplasms,0.008818342
histoplasmosis,Psoriasis,0.008818342
histoplasmosis,Stomach Neoplasms,0.008818342
hydrocephalus,Hypoventilation,0.008818342
Hypergammaglobulinemia,Ventricular Premature Complexes,0.008818342
hyperostosis,Psoriasis,0.008818342
renal papillary necrosis,Keratosis,0.008818342
lichen,"Malaria, Falciparum",0.008818342
lichen planus,"Lupus Erythematosus, Discoid",0.008818342
lichen planus,"Malaria, Avian",0.008818342
lichen planus,Pemphigus,0.008818342
lower GI bleeding,Alzheimer Disease,0.008818342
Lyme Disease,Syphilis,0.008818342
macroglossia,"Candidiasis, Chronic Mucocutaneous",0.008818342
macroglossia,"Candidiasis, Oral",0.008818342
melasma,Hypoventilation,0.008818342
melasma,"Infertility, Female",0.008818342
melasma,"Menopause, Premature",0.008818342
melasma,Primary Ovarian Insufficiency,0.008818342
melasma,"Spasms, Infantile",0.008818342
atypical mycobacterial infection,Psoriasis,0.008818342
myoglobinuria,Syphilis,0.008818342
bone necrosis,Amyotrophic Lateral Sclerosis,0.008818342
ovarian cancer,Hypoventilation,0.008818342
ovarian cancer,"Infertility, Female",0.008818342
ovarian cancer,"Menopause, Premature",0.008818342
ovarian cancer,Primary Ovarian Insufficiency,0.008818342
panic disorder,Overdose,0.008818342
parotitis,"Alcohol-Induced Disorders, Nervous System",0.008818342
parotitis,"Fatigue Syndrome, Chronic",0.008818342
parotitis,Parkinsonian Disorders,0.008818342
parotitis,Sialorrhea,0.008818342
Periapical abscess,Syphilis,0.008818342
periostitis,Syphilis,0.008818342
polycystic ovary disease,Alzheimer Disease,0.008818342
anaphylactoid purpura,Inappropriate ADH Syndrome,0.008818342
anaphylactoid purpura,Keratosis,0.008818342
Raynauds,Muscle Spasticity,0.008818342
Rectal Pain,Obesity,0.008818342
pure red cell aplasia,"Adenovirus Infections, Human",0.008818342
pure red cell aplasia,"Hepatitis C, Chronic",0.008818342
pure red cell aplasia,Respiratory Syncytial Virus Infections,0.008818342
pure red cell aplasia,Restless Legs Syndrome,0.008818342
pure red cell aplasia,West Nile Fever,0.008818342
pigmentary retinopathy,Attention Deficit and Disruptive Behavior Disorders,0.008818342
pigmentary retinopathy,"Porphyria, Acute Intermittent",0.008818342
pigmentary retinopathy,Reye Syndrome,0.008818342
pigmentary retinopathy,Torticollis,0.008818342
rheumatic fever,"Bites, Human",0.008818342
rickets,Pancreatic Neoplasms,0.008818342
rickets,Precursor Cell Lymphoblastic Leukemia-Lymphoma,0.008818342
rickets,Stomach Neoplasms,0.008818342
Kaposi Sarcoma,Pancreatic Neoplasms,0.008818342
Septicemia,Abdominal Abscess,0.008818342
Septicemia,Liver Neoplasms,0.008818342
Septicemia,Mesothelioma,0.008818342
sporotrichosis,"Candidiasis, Chronic Mucocutaneous",0.008818342
sporotrichosis,"Candidiasis, Oral",0.008818342
thyroiditis,Condylomata Acuminata,0.008818342
thyroiditis,"Fatigue Syndrome, Chronic",0.008818342
thyroiditis,Hypoventilation,0.008818342
upper GI bleeding,Ventricular Premature Complexes,0.008818342
Idiopathic thrombocytopenic purpura,Condylomata Acuminata,0.008818342
Hypogammaglobulinemia,Psoriasis,0.008818342
Hypogammaglobulinemia,Stomach Neoplasms,0.008818342
testicular atrophy,Carcinoma,0.008818342
testicular atrophy,"Puberty, Delayed",0.008818342
testicular atrophy,Restless Legs Syndrome,0.008818342
testicular atrophy,Thrombocytosis,0.008818342
wrist pain,Cystitis,0.008818342
secondary amenorrhea,Alzheimer Disease,0.008818342
eye redness,"Leukemia, Promyelocytic, Acute",0.008818342
eye redness,Sleep Disorders,0.008818342
chronic urinary tract infections,"Bites, Human",0.008818342
night cramps,Cystitis,0.008818342
recurrent urinary tract infections,"Leukemia, Myeloid, Acute",0.008818342
recurrent urinary tract infections,Precursor Cell Lymphoblastic Leukemia-Lymphoma,0.008818342
recurrent urinary tract infections,Rhabdomyosarcoma,0.008818342
Olecranon bursitis,Psoriasis,0.008818342
ulcerative proctitis,Pancreatic Neoplasms,0.008818342
Ceruminosis,Psoriasis,0.008818342
acute psychosis,Hypoventilation,0.008818342
esophageal rupture,Alzheimer Disease,0.008818342
generalized pain,Actinomycetales Infections,0.008818342
generalized pain,Adrenal Cortex Neoplasms,0.008818342
generalized pain,Osteolysis,0.008818342
uterine sarcoma,Pancreatic Neoplasms,0.008818342
Hypervitaminosis,Psoriasis,0.008818342
bladder atony,Rhabdomyosarcoma,0.008818342
easy bruising,Actinomycetales Infections,0.008818342
easy bruising,Mental Retardation,0.008818342
urolithiasis,"Fatigue Syndrome, Chronic",0.008818342
endometrial cancer,"Infertility, Female",0.008818342
gastric carcinoma,Amyotrophic Lateral Sclerosis,0.008818342
gastric carcinoma,Soft Tissue Neoplasms,0.008818342
depressive psychosis,Pancreatic Neoplasms,0.008818342
depressive psychosis,Precursor Cell Lymphoblastic Leukemia-Lymphoma,0.008818342
depressive psychosis,Stomach Neoplasms,0.008818342
B12 deficiency anemia,Alzheimer Disease,0.008818342
Pneumocystis carinii infection,"Candidiasis, Chronic Mucocutaneous",0.008818342
Pneumocystis carinii infection,"Candidiasis, Oral",0.008818342
mental deficiency,Cystitis,0.008818342
pancytopenia,Cytomegalovirus Retinitis,0.008832384
pancytopenia,Esophagitis,0.008832384
renal failure,Bursitis,0.008832384
renal failure,Hypokalemia,0.008832384
renal failure,Trigeminal Neuralgia,0.008832384
gastroenteritis,Depressive Disorder,0.008849107
malaise,Bipolar Disorder,0.008851244
gastritis,Cystitis,0.008851693
tendinitis,Gonorrhea,0.008854531
chest pain substernal,Gonorrhea,0.008854531
Influenza,"Osteoporosis, Postmenopausal",0.008860022
Influenza,"Paget Disease, Extramammary",0.008860022
seizures,Acinetobacter Infections,0.008860022
seizures,Pyelonephritis,0.008860022
hemorrhage,Bacteroides Infections,0.008872499
arthritis,Hypertension,0.008872871
chills,Hypertension,0.008909665
amnesia,Schizophrenia,0.008913122
tinnitus,"Bone Diseases, Infectious",0.008924801
blurred vision,"Bone Diseases, Infectious",0.008924801
convulsions,Obsessive-Compulsive Disorder,0.008930327
leukopenia,AIDS-Related Opportunistic Infections,0.00893978
leukopenia,Otitis Media,0.00893978
cholecystitis,Autistic Disorder,0.008945024
cholecystitis,Dementia,0.008945024
hematoma,Autistic Disorder,0.008945024
hematoma,Dementia,0.008945024
hematoma,"Tuberculosis, Pulmonary",0.008945024
priapism,Autistic Disorder,0.008945024
sneezing,Tobacco Use Disorder,0.008945024
loss of consciousness,"Pain, Postoperative",0.008945024
lupus,Panic Disorder,0.008975923
weakness,Escherichia coli Infections,0.008995309
atrial flutter,Graft vs Host Disease,0.008997651
abuse,Alcoholism,0.008997651
abuse,Cluster Headache,0.008997651
abuse,Opioid-Related Disorders,0.008997651
abuse,"Pain, Intractable",0.008997651
embolism,Endometrial Neoplasms,0.008997651
hyperhidrosis,"Pain, Intractable",0.008997651
hypertrichosis,"Epilepsy, Tonic-Clonic",0.008997651
hypothermia,"Stress Disorders, Post-Traumatic",0.008997651
malabsorption,"Skin Diseases, Bacterial",0.008997651
rheumatism,Asthma,0.008997651
voice alteration,Graft vs Host Disease,0.008997651
paraparesis,Asthma,0.008997651
adenomas,Bipolar Disorder,0.009001885
allergic alveolitis,Salmonella Infections,0.009001885
ulcerative colitis,Duodenal Ulcer,0.009001885
cardiac murmur,Bacteroides Infections,0.009001885
status epilepticus,Bipolar Disorder,0.009001885
synovitis,Helicobacter Infections,0.009001885
abnormal electroencephalogram,Bipolar Disorder,0.009001885
cardiomegaly,Alzheimer Disease,0.009005691
urinary hesitancy,"Abnormalities, Drug-Induced",0.009005691
urinary hesitancy,Ventricular Premature Complexes,0.009005691
infection,Bacteroides Infections,0.009014071
infection,"Bone Diseases, Infectious",0.009014071
alopecia,Bipolar Disorder,0.009023387
chills,Gonorrhea,0.009031793
jaundice,Haemophilus Infections,0.009039988
Dyspepsia,"Lymphoma, Non-Hodgkin",0.009054977
tachycardia,Tinea Pedis,0.009054977
allergic reaction,Klebsiella Infections,0.009055178
weight loss,Autistic Disorder,0.009060807
weight loss,Cytomegalovirus Retinitis,0.009060807
weight loss,Lymphoma,0.009060807
erythema,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",0.009066069
erythema,Pyelonephritis,0.009066069
erythema,Rheumatic Diseases,0.009066069
erythema,Tinea Versicolor,0.009066069
fungal dermatitis,Sinusitis,0.009067813
furunculosis,Panic Disorder,0.009067813
optic neuritis,Panic Disorder,0.009067813
optic neuritis,Testicular Neoplasms,0.009067813
gastric ulcer,Panic Disorder,0.009067813
stomatitis,Helicobacter Infections,0.00909593
ESR increased,Heart Failure,0.009101776
renal insufficiency,Ovarian Neoplasms,0.009101776
chest pain,Heart Failure,0.009108684
urticaria,Haemophilus Infections,0.009124371
thrombocytopenia,Bronchitis,0.00912722
weakness,"Lymphoma, Non-Hodgkin",0.009144406
weakness,Multiple Myeloma,0.009144406
somnolence,Hypertension,0.00914495
vaginal hemorrhage,Osteoarthritis,0.009165926
vaginal hemorrhage,Schizophrenia,0.009165926
chest pain,Hypercholesterolemia,0.009172668
melena,Gout,0.009193352
hepatic failure,Neutropenia,0.009193352
cachexia,Acquired Immunodeficiency Syndrome,0.009213597
anorexia,Bradycardia,0.009220079
anorexia,Facial Dermatoses,0.009220079
anorexia,Foot Dermatoses,0.009220079
anorexia,Hand Dermatoses,0.009220079
anorexia,Leg Dermatoses,0.009220079
anorexia,Postoperative Complications,0.009220079
anorexia,Scalp Dermatoses,0.009220079
aseptic meningitis,Gout,0.009227488
epigastric pain,Neutropenia,0.009227488
dysesthesia,Multiple Myeloma,0.009227488
nausea,Obsessive-Compulsive Disorder,0.009232632
postural hypotension,Tourette Syndrome,0.009245545
syncope,Heart Failure,0.009246163
amenorrhea,Eating Disorders,0.009254585
amenorrhea,Phobic Disorders,0.009254585
amenorrhea,Waldenstrom Macroglobulinemia,0.009254585
gingivitis,Phobic Disorders,0.009254585
nystagmus,Eating Disorders,0.009254585
nystagmus,"Epilepsy, Complex Partial",0.009254585
nystagmus,"Epilepsy, Temporal Lobe",0.009254585
nystagmus,Phobic Disorders,0.009254585
skin ulcer,Hot Flashes,0.009254585
skin ulcer,Phobic Disorders,0.009254585
tooth disorder,Narcolepsy,0.009254585
tooth disorder,Phobic Disorders,0.009254585
hallucinations,Parkinson Disease,0.009259732
Stevens - Johnson syndrome,AIDS-Related Opportunistic Infections,0.009259732
lymphopenia,Otitis Media,0.00926099
anemia,Ventricular Fibrillation,0.009274324
hepatitis,Coronary Artery Disease,0.009288996
hepatitis,Hyperlipoproteinemias,0.009288996
hepatitis,Hypertriglyceridemia,0.009288996
neutropenia,Depressive Disorder,0.009289125
decreased libido,Autistic Disorder,0.009293136
decreased libido,Enuresis,0.009293136
acute renal failure,Breast Neoplasms,0.009295559
acute renal failure,Klebsiella Infections,0.009295559
dyspnea,Acne Vulgaris,0.009336442
headache,"Lymphoma, Non-Hodgkin",0.009346157
fatigue,"Skin Diseases, Bacterial",0.009349247
chest pain,Atrial Flutter,0.009351263
palpitations,Atrial Flutter,0.009351263
palpitations,Bipolar Disorder,0.009351263
diarrhea,"Arthritis, Rheumatoid",0.009356762
diarrhea,Osteoarthritis,0.009356762
ischemia,Obsessive-Compulsive Disorder,0.009357575
keratitis,Obsessive-Compulsive Disorder,0.009357575
megacolon,Urinary Tract Infections,0.009357575
flatulence,"Arthritis, Rheumatoid",0.009368464
laryngitis,Attention Deficit Disorder with Hyperactivity,0.009378001
jaundice,Acquired Immunodeficiency Syndrome,0.009379664
stridor,Staphylococcal Infections,0.009381132
azotemia,Staphylococcal Infections,0.009381132
azotemia,Streptococcal Infections,0.009381132
gastric ulcer,Osteoarthritis,0.009389185
diabetes mellitus,Graft vs Host Disease,0.009409214
diabetes mellitus,Hematologic Diseases,0.009409214
diabetes mellitus,Neoplasms,0.009409214
diabetes mellitus,Rheumatic Diseases,0.009409214
acute renal failure,Herpes Genitalis,0.009409214
acute renal failure,Leukemia,0.009409214
acute renal failure,"Spondylitis, Ankylosing",0.009409214
acute renal failure,Urinary Bladder Neoplasms,0.009409214
hypercholesterolemia,Schizophrenia,0.009409791
mouth ulceration,Heart Failure,0.009410695
palpitations,Atrial Fibrillation,0.009424056
hemorrhage,Angina Pectoris,0.009435058
melena,Panic Disorder,0.009441109
acne,Panic Disorder,0.009441109
angina pectoris,Soft Tissue Infections,0.009444261
dyskinesia,Hypertension,0.009445019
arteritis,Testicular Neoplasms,0.009447173
